material_familiarity,yrs_experience,Q1_Steel,Q1_Aluminium,Q1_Titanium,Q1_Glass,Q1_Wood,Q1_Thermoplastic,Q1_Elastomer,Q1_Thermoset,Q1_Composite,Q2_Steel,Q2_Aluminium,Q2_Titanium,Q2_Glass,Q2_Wood,Q2_Thermoplastic,Q2_Elastomer,Q2_Thermoset,Q2_Composite,Q3_Steel,Q3_Aluminium,Q3_Titanium,Q3_Glass,Q3_Wood,Q3_Thermoplastic,Q3_Elastomer,Q3_Thermoset,Q3_Composite,Q4_Steel,Q4_Aluminium,Q4_Titanium,Q4_Glass,Q4_Wood,Q4_Thermoplastic,Q4_Elastomer,Q4_Thermoset,Q4_Composite,Q5_Steel,Q5_Aluminium,Q5_Titanium,Q5_Glass,Q5_Wood,Q5_Thermoplastic,Q5_Elastomer,Q5_Thermoset,Q5_Composite,Q6_Steel,Q6_Aluminium,Q6_Titanium,Q6_Glass,Q6_Wood,Q6_Thermoplastic,Q6_Elastomer,Q6_Thermoset,Q6_Composite,Q7_Steel,Q7_Aluminium,Q7_Titanium,Q7_Glass,Q7_Wood,Q7_Thermoplastic,Q7_Elastomer,Q7_Thermoset,Q7_Composite,Q8_Steel,Q8_Aluminium,Q8_Titanium,Q8_Glass,Q8_Wood,Q8_Thermoplastic,Q8_Elastomer,Q8_Thermoset,Q8_Composite,Q9_Steel,Q9_Aluminium,Q9_Titanium,Q9_Glass,Q9_Wood,Q9_Thermoplastic,Q9_Elastomer,Q9_Thermoset,Q9_Composite,Q10_Steel,Q10_Aluminium,Q10_Titanium,Q10_Glass,Q10_Wood,Q10_Thermoplastic,Q10_Elastomer,Q10_Thermoset,Q10_Composite,Q11_Steel,Q11_Aluminium,Q11_Titanium,Q11_Glass,Q11_Wood,Q11_Thermoplastic,Q11_Elastomer,Q11_Thermoset,Q11_Composite,Q12_Steel,Q12_Aluminium,Q12_Titanium,Q12_Glass,Q12_Wood,Q12_Thermoplastic,Q12_Elastomer,Q12_Thermoset,Q12_Composite,Q13_Steel,Q13_Aluminium,Q13_Titanium,Q13_Glass,Q13_Wood,Q13_Thermoplastic,Q13_Elastomer,Q13_Thermoset,Q13_Composite,Q14_Steel,Q14_Aluminium,Q14_Titanium,Q14_Glass,Q14_Wood,Q14_Thermoplastic,Q14_Elastomer,Q14_Thermoset,Q14_Composite,Q15_Steel,Q15_Aluminium,Q15_Titanium,Q15_Glass,Q15_Wood,Q15_Thermoplastic,Q15_Elastomer,Q15_Thermoset,Q15_Composite,Q16_Steel,Q16_Aluminium,Q16_Titanium,Q16_Glass,Q16_Wood,Q16_Thermoplastic,Q16_Elastomer,Q16_Thermoset,Q16_Composite
Yes,10.0,4.0,8.0,10.0,1.0,3.0,4.0,2.0,1.0,10.0,1.0,10.0,10.0,1.0,10.0,6.0,5.0,6.0,10.0,2.0,4.0,2.0,1.0,7.0,1.0,6.0,6.0,7.0,1.0,6.0,10.0,10.0,8.0,7.0,4.0,5.0,10.0,7.0,8.0,10.0,2.0,6.0,7.0,3.0,4.0,10.0,1.0,7.0,10.0,1.0,1.0,4.0,2.0,3.0,10.0,3.0,5.0,7.0,7.0,1.0,1.0,1.0,1.0,10.0,1.0,10.0,10.0,8.0,1.0,7.0,6.0,8.0,10.0,8.0,7.0,10.0,1.0,1.0,4.0,1.0,3.0,10.0,1.0,5.0,9.0,1.0,1.0,3.0,2.0,1.0,10.0,8.0,4.0,10.0,7.0,1.0,1.0,3.0,4.0,8.0,1.0,7.0,10.0,7.0,1.0,8.0,6.0,7.0,8.0,6.0,5.0,10.0,1.0,1.0,3.0,1.0,1.0,9.0,1.0,6.0,7.0,1.0,1.0,5.0,5.0,5.0,10.0,1.0,1.0,2.0,1.0,1.0,2.0,7.0,8.0,9.0,1.0,7.0,7.0,1.0,1.0,8.0,6.0,5.0,10.0
Yes,29.0,7.0,8.0,6.0,0.0,3.0,1.0,0.0,2.0,9.0,3.0,5.0,1.0,3.0,6.0,2.0,8.0,9.0,5.0,2.0,2.0,2.0,6.0,4.0,3.0,7.0,10.0,8.0,2.0,6.0,2.0,9.0,8.0,8.0,9.0,10.0,10.0,8.0,7.0,7.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,7.0,9.0,0.0,0.0,1.0,0.0,2.0,8.0,7.0,4.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,9.0,8.0,0.0,7.0,6.0,6.0,9.0,7.0,7.0,10.0,4.0,0.0,1.0,0.0,2.0,7.0,6.0,8.0,10.0,3.0,0.0,7.0,4.0,8.0,7.0,3.0,4.0,10.0,4.0,0.0,0.0,1.0,3.0,3.0,4.0,8.0,10.0,3.0,0.0,4.0,1.0,3.0,7.0,7.0,8.0,10.0,0.0,0.0,1.0,0.0,2.0,7.0,1.0,2.0,4.0,0.0,1.0,6.0,1.0,8.0,10.0,1.0,2.0,3.0,0.0,0.0,4.0,1.0,9.0,9.0,1.0,2.0,4.0,0.0,0.0,9.0,1.0,10.0,10.0
Yes,25.0,5.0,7.0,6.0,0.0,1.0,3.0,1.0,2.0,9.0,3.0,6.0,4.0,6.0,2.0,8.0,5.0,5.0,7.0,4.0,4.0,4.0,5.0,5.0,6.0,4.0,6.0,7.0,4.0,4.0,6.0,5.0,7.0,7.0,8.0,7.0,7.0,6.0,7.0,7.0,4.0,8.0,8.0,7.0,4.0,9.0,4.0,6.0,7.0,4.0,2.0,6.0,5.0,5.0,9.0,4.0,8.0,9.0,1.0,1.0,2.0,5.0,2.0,8.0,3.0,7.0,6.0,7.0,4.0,7.0,7.0,7.0,9.0,3.0,6.0,9.0,4.0,1.0,5.0,4.0,4.0,9.0,5.0,5.0,7.0,4.0,3.0,5.0,5.0,5.0,9.0,6.0,8.0,5.0,1.0,1.0,3.0,1.0,2.0,5.0,4.0,9.0,9.0,8.0,8.0,6.0,5.0,5.0,9.0,7.0,7.0,6.0,1.0,2.0,4.0,3.0,5.0,8.0,1.0,4.0,2.0,1.0,3.0,8.0,4.0,5.0,10.0,2.0,4.0,4.0,1.0,1.0,7.0,2.0,5.0,8.0,1.0,5.0,3.0,1.0,1.0,7.0,4.0,6.0,8.0
Yes,8.0,4.0,7.0,9.0,2.0,3.0,1.0,0.0,0.0,10.0,5.0,8.0,6.0,1.0,4.0,0.0,0.0,1.0,10.0,3.0,2.0,5.0,2.0,3.0,0.0,0.0,0.0,6.0,4.0,3.0,8.0,6.0,2.0,5.0,0.0,0.0,10.0,9.0,4.0,10.0,0.0,1.0,0.0,0.0,0.0,9.0,6.0,9.0,10.0,0.0,0.0,3.0,0.0,1.0,10.0,9.0,6.0,9.0,4.0,0.0,0.0,0.0,1.0,10.0,5.0,8.0,10.0,1.0,1.0,2.0,1.0,2.0,10.0,8.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,6.0,3.0,0.0,0.0,0.0,0.0,6.0,8.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,3.0,9.0,5.0,0.0,0.0,0.0,0.0,10.0,10.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,6.0,7.0,0.0,7.0,0.0,0.0,0.0,10.0,8.0,8.0,9.0,1.0,1.0,0.0,0.0,3.0,7.0,6.0,4.0,9.0,1.0,2.0,5.0,3.0,2.0,10.0
Yes,29.0,5.0,10.0,3.0,1.0,1.0,1.0,1.0,7.0,10.0,1.0,8.0,1.0,4.0,1.0,10.0,5.0,9.0,10.0,7.0,4.0,10.0,6.0,1.0,2.0,1.0,1.0,7.0,6.0,10.0,10.0,10.0,5.0,7.0,7.0,7.0,10.0,10.0,10.0,10.0,6.0,1.0,5.0,2.0,4.0,7.0,5.0,10.0,6.0,6.0,1.0,10.0,9.0,10.0,10.0,7.0,10.0,8.0,1.0,1.0,4.0,1.0,3.0,8.0,5.0,10.0,10.0,9.0,7.0,7.0,5.0,7.0,10.0,10.0,10.0,10.0,2.0,2.0,4.0,2.0,6.0,10.0,5.0,10.0,6.0,4.0,4.0,4.0,4.0,5.0,10.0,10.0,8.0,10.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,10.0,10.0,10.0,1.0,9.0,7.0,8.0,10.0,7.0,10.0,10.0,3.0,1.0,4.0,3.0,3.0,10.0,3.0,10.0,2.0,5.0,2.0,10.0,5.0,5.0,9.0,6.0,3.0,8.0,4.0,1.0,2.0,1.0,1.0,5.0,5.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0
Yes,36.0,5.0,9.0,8.0,1.0,2.0,1.0,1.0,1.0,10.0,3.0,7.0,5.0,1.0,9.0,3.0,1.0,6.0,7.0,6.0,9.0,9.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,8.0,3.0,10.0,1.0,1.0,2.0,1.0,3.0,9.0,2.0,6.0,4.0,1.0,1.0,6.0,1.0,4.0,10.0,6.0,7.0,9.0,9.0,1.0,1.0,1.0,1.0,2.0,5.0,10.0,9.0,5.0,1.0,8.0,7.0,8.0,8.0,9.0,4.0,10.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,6.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,5.0,7.0,7.0,8.0,1.0,1.0,1.0,1.0,2.0,1.0,8.0,9.0,7.0,1.0,8.0,2.0,2.0,2.0,6.0,4.0,10.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,9.0,7.0,1.0,1.0,3.0,2.0,1.0,9.0,5.0,7.0,7.0,6.0,4.0,1.0,1.0,1.0,10.0,2.0,10.0,4.0,2.0,5.0,3.0,2.0,2.0,9.0
Yes,38.0,5.0,5.0,5.0,1.0,10.0,1.0,1.0,1.0,5.0,1.0,7.0,10.0,1.0,1.0,8.0,6.0,6.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,10.0,5.0,1.0,1.0,10.0,5.0,5.0,10.0,10.0,10.0,10.0,2.0,4.0,3.0,3.0,3.0,10.0,1.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,7.0,10.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,5.0,10.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,10.0,4.0,4.0,10.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,10.0,9.0,8.0,2.0,5.0,1.0,5.0,1.0,1.0,5.0,1.0,5.0,2.0,1.0,5.0,5.0,5.0,2.0,10.0,1.0,1.0,3.0,1.0,1.0,6.0,8.0,5.0,8.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,10.0
Yes,30.0,6.0,9.0,9.0,1.0,1.0,6.0,6.0,6.0,9.0,1.0,10.0,1.0,1.0,7.0,10.0,5.0,10.0,8.0,1.0,1.0,1.0,4.0,8.0,9.0,6.0,6.0,8.0,1.0,7.0,7.0,10.0,10.0,8.0,8.0,8.0,8.0,1.0,1.0,9.0,1.0,1.0,7.0,9.0,9.0,9.0,1.0,8.0,1.0,1.0,3.0,9.0,5.0,8.0,9.0,1.0,2.0,1.0,1.0,1.0,8.0,1.0,8.0,8.0,1.0,8.0,3.0,1.0,1.0,8.0,7.0,7.0,9.0,9.0,9.0,9.0,1.0,6.0,6.0,4.0,6.0,9.0,1.0,3.0,5.0,1.0,1.0,8.0,8.0,8.0,10.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,8.0,8.0,1.0,3.0,1.0,10.0,9.0,9.0,6.0,9.0,9.0,1.0,5.0,5.0,3.0,1.0,9.0,5.0,9.0,9.0,1.0,1.0,3.0,1.0,1.0,8.0,7.0,7.0,9.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,1.0,9.0,5.0,10.0,10.0,8.0,7.0,7.0,10.0
Yes,30.0,6.0,10.0,2.0,2.0,2.0,8.0,5.0,10.0,8.0,5.0,7.0,7.0,1.0,1.0,10.0,7.0,9.0,8.0,9.0,8.0,9.0,2.0,2.0,7.0,5.0,7.0,7.0,6.0,6.0,6.0,6.0,1.0,7.0,7.0,7.0,10.0,10.0,5.0,9.0,3.0,2.0,6.0,4.0,10.0,5.0,4.0,8.0,10.0,1.0,1.0,10.0,2.0,4.0,8.0,6.0,6.0,6.0,1.0,1.0,3.0,3.0,7.0,6.0,8.0,5.0,10.0,2.0,1.0,8.0,5.0,10.0,6.0,5.0,8.0,8.0,2.0,2.0,8.0,2.0,8.0,8.0,4.0,10.0,10.0,5.0,3.0,6.0,7.0,8.0,9.0,7.0,6.0,8.0,3.0,3.0,8.0,8.0,8.0,10.0,6.0,6.0,8.0,6.0,1.0,5.0,5.0,5.0,10.0,9.0,9.0,10.0,5.0,2.0,4.0,3.0,7.0,6.0,7.0,9.0,8.0,2.0,2.0,10.0,9.0,2.0,8.0,7.0,8.0,9.0,6.0,1.0,8.0,9.0,9.0,9.0,5.0,6.0,8.0,7.0,2.0,9.0,7.0,8.0,9.0
Yes,4.0,0.0,6.0,8.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,6.0,4.0,1.0,9.0,6.0,9.0,5.0,10.0,10.0,9.0,10.0,3.0,5.0,0.0,8.0,0.0,10.0,0.0,9.0,8.0,5.0,2.0,6.0,7.0,7.0,8.0,9.0,7.0,9.0,0.0,6.0,2.0,1.0,6.0,9.0,0.0,4.0,6.0,0.0,1.0,8.0,1.0,8.0,9.0,9.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,7.0,9.0,7.0,1.0,5.0,6.0,5.0,9.0,1.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,7.0,0.0,3.0,6.0,3.0,6.0,9.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,9.0,9.0,1.0,6.0,4.0,6.0,10.0,10.0,7.0,10.0,1.0,2.0,2.0,0.0,2.0,10.0,0.0,1.0,3.0,0.0,3.0,8.0,5.0,8.0,10.0,1.0,3.0,8.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,8.0,8.0,8.0,1.0,6.0,6.0,6.0,9.0
Yes,25.0,4.0,7.0,8.0,1.0,1.0,4.0,1.0,1.0,9.0,1.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,4.0,1.0,3.0,2.0,4.0,4.0,5.0,8.0,4.0,6.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,6.0,9.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,7.0,6.0,1.0,1.0,1.0,3.0,3.0,5.0,6.0,3.0,6.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,4.0,8.0,7.0,3.0,5.0,7.0,4.0,6.0,7.0,4.0,9.0,6.0,1.0,2.0,2.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,10.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,7.0,4.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,5.0,4.0
Yes,30.0,0.0,3.0,8.0,1.0,1.0,5.0,3.0,7.0,9.0,2.0,3.0,3.0,1.0,3.0,6.0,1.0,8.0,1.0,5.0,7.0,6.0,5.0,5.0,8.0,6.0,6.0,5.0,2.0,6.0,7.0,7.0,9.0,7.0,8.0,7.0,8.0,3.0,9.0,5.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,6.0,6.0,6.0,1.0,9.0,5.0,7.0,6.0,1.0,5.0,6.0,5.0,1.0,8.0,4.0,10.0,7.0,4.0,5.0,6.0,8.0,5.0,8.0,5.0,9.0,8.0,1.0,6.0,6.0,6.0,1.0,6.0,2.0,10.0,6.0,1.0,5.0,6.0,7.0,1.0,7.0,5.0,8.0,9.0,4.0,4.0,6.0,1.0,1.0,5.0,1.0,2.0,1.0,5.0,7.0,2.0,1.0,1.0,8.0,3.0,9.0,1.0,4.0,2.0,2.0,3.0,1.0,9.0,1.0,10.0,3.0,1.0,1.0,1.0,7.0,1.0,8.0,4.0,6.0,7.0,1.0,1.0,1.0,7.0,1.0,9.0,5.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,9.0,3.0,6.0,3.0
Yes,12.0,3.0,8.0,7.0,0.0,1.0,2.0,0.0,2.0,7.0,2.0,5.0,3.0,5.0,6.0,1.0,1.0,3.0,4.0,0.0,7.0,2.0,4.0,7.0,1.0,0.0,6.0,3.0,1.0,8.0,6.0,10.0,8.0,4.0,5.0,5.0,9.0,3.0,5.0,6.0,3.0,6.0,3.0,4.0,4.0,6.0,1.0,8.0,7.0,1.0,0.0,2.0,0.0,1.0,8.0,6.0,5.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,6.0,6.0,1.0,1.0,1.0,0.0,3.0,4.0,7.0,6.0,7.0,0.0,0.0,1.0,0.0,2.0,6.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,5.0,5.0,7.0,8.0,0.0,2.0,1.0,0.0,6.0,7.0,1.0,7.0,8.0,3.0,6.0,3.0,2.0,6.0,8.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,5.0,6.0,0.0,2.0,3.0,0.0,3.0,5.0,2.0,3.0,7.0,1.0,1.0,2.0,0.0,5.0,1.0,3.0,4.0,6.0,1.0,4.0,5.0,0.0,7.0,8.0,7.0,6.0,9.0
Yes,30.0,6.0,8.0,9.0,4.0,5.0,3.0,4.0,5.0,10.0,5.0,7.0,9.0,4.0,9.0,7.0,6.0,7.0,10.0,1.0,2.0,2.0,8.0,6.0,5.0,3.0,3.0,7.0,2.0,8.0,9.0,9.0,2.0,5.0,5.0,5.0,8.0,8.0,9.0,10.0,6.0,7.0,5.0,6.0,5.0,10.0,2.0,5.0,8.0,4.0,5.0,7.0,6.0,6.0,9.0,5.0,7.0,9.0,7.0,1.0,1.0,2.0,1.0,8.0,5.0,8.0,9.0,8.0,1.0,6.0,7.0,6.0,9.0,10.0,9.0,10.0,3.0,2.0,3.0,3.0,3.0,9.0,2.0,5.0,9.0,7.0,6.0,6.0,6.0,6.0,9.0,10.0,7.0,10.0,9.0,4.0,2.0,2.0,1.0,9.0,1.0,4.0,5.0,10.0,1.0,7.0,7.0,6.0,9.0,9.0,8.0,9.0,3.0,3.0,4.0,5.0,4.0,9.0,2.0,7.0,9.0,5.0,7.0,8.0,4.0,8.0,9.0,8.0,9.0,10.0,6.0,9.0,1.0,3.0,1.0,9.0,3.0,8.0,10.0,8.0,3.0,4.0,5.0,4.0,9.0
Yes,26.0,4.0,5.0,7.0,0.0,0.0,5.0,0.0,2.0,7.0,0.0,5.0,0.0,0.0,5.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,5.0,5.0,8.0,5.0,4.0,8.0,4.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,2.0,7.0,10.0,0.0,3.0,5.0,0.0,5.0,9.0,5.0,0.0,5.0,7.0,1.0,5.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,8.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0
Yes,5.0,5.0,8.0,9.0,0.0,3.0,5.0,1.0,5.0,10.0,5.0,8.0,9.0,1.0,6.0,10.0,7.0,10.0,10.0,9.0,9.0,10.0,5.0,2.0,6.0,6.0,7.0,8.0,6.0,7.0,8.0,3.0,1.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,4.0,7.0,8.0,7.0,8.0,10.0,5.0,8.0,9.0,1.0,3.0,6.0,6.0,6.0,9.0,7.0,6.0,8.0,6.0,0.0,3.0,3.0,4.0,9.0,5.0,9.0,10.0,7.0,1.0,9.0,8.0,9.0,10.0,8.0,10.0,10.0,2.0,1.0,8.0,2.0,8.0,10.0,4.0,6.0,8.0,3.0,5.0,9.0,9.0,9.0,10.0,8.0,7.0,9.0,8.0,4.0,5.0,5.0,5.0,6.0,5.0,10.0,10.0,8.0,1.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,5.0,2.0,8.0,6.0,8.0,7.0,5.0,9.0,9.0,4.0,3.0,10.0,8.0,10.0,10.0,7.0,7.0,8.0,5.0,3.0,6.0,6.0,6.0,6.0,4.0,9.0,10.0,3.0,2.0,10.0,10.0,10.0,10.0
No,18.0,6.0,7.0,6.0,1.0,4.0,5.0,5.0,5.0,10.0,3.0,3.0,3.0,4.0,8.0,8.0,7.0,8.0,9.0,3.0,3.0,4.0,4.0,9.0,3.0,9.0,9.0,10.0,7.0,10.0,7.0,4.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,1.0,7.0,8.0,1.0,9.0,10.0,6.0,10.0,5.0,4.0,7.0,8.0,9.0,9.0,9.0,4.0,4.0,3.0,7.0,7.0,3.0,8.0,6.0,9.0,1.0,9.0,9.0,9.0,1.0,9.0,7.0,9.0,8.0,8.0,8.0,9.0,3.0,5.0,4.0,3.0,5.0,9.0,2.0,8.0,7.0,3.0,3.0,7.0,7.0,8.0,10.0,2.0,5.0,9.0,7.0,1.0,8.0,8.0,7.0,8.0,6.0,10.0,10.0,9.0,6.0,9.0,8.0,9.0,10.0,10.0,9.0,10.0,7.0,6.0,9.0,8.0,8.0,10.0,2.0,2.0,2.0,3.0,6.0,7.0,7.0,7.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,8.0,8.0,1.0,2.0,2.0,1.0,2.0,9.0,9.0,9.0,9.0
Yes,6.0,4.0,7.0,6.0,2.0,2.0,2.0,2.0,5.0,6.0,1.0,1.0,1.0,1.0,8.0,1.0,2.0,9.0,2.0,1.0,1.0,1.0,4.0,9.0,1.0,1.0,8.0,5.0,3.0,8.0,9.0,8.0,9.0,8.0,7.0,8.0,9.0,7.0,7.0,9.0,6.0,8.0,3.0,8.0,5.0,9.0,4.0,7.0,8.0,2.0,1.0,2.0,1.0,5.0,9.0,4.0,7.0,9.0,3.0,1.0,3.0,8.0,3.0,9.0,4.0,6.0,8.0,1.0,1.0,4.0,4.0,5.0,8.0,6.0,7.0,8.0,2.0,2.0,2.0,1.0,2.0,9.0,4.0,7.0,9.0,2.0,2.0,2.0,2.0,3.0,9.0,6.0,6.0,9.0,1.0,1.0,1.0,2.0,1.0,8.0,2.0,8.0,8.0,2.0,2.0,2.0,5.0,1.0,9.0,7.0,8.0,9.0,5.0,3.0,4.0,2.0,3.0,9.0,2.0,6.0,7.0,2.0,2.0,2.0,4.0,3.0,9.0,4.0,2.0,8.0,3.0,3.0,3.0,5.0,2.0,9.0,2.0,8.0,9.0,1.0,2.0,6.0,5.0,4.0,9.0
Yes,24.0,3.0,9.0,8.0,1.0,1.0,6.0,3.0,4.0,7.0,4.0,6.0,7.0,3.0,3.0,6.0,2.0,6.0,8.0,9.0,6.0,5.0,7.0,2.0,5.0,4.0,6.0,8.0,6.0,7.0,6.0,6.0,9.0,6.0,1.0,7.0,7.0,9.0,7.0,10.0,1.0,6.0,5.0,3.0,7.0,7.0,3.0,8.0,8.0,1.0,1.0,4.0,3.0,3.0,7.0,8.0,3.0,5.0,6.0,1.0,5.0,3.0,5.0,4.0,7.0,9.0,9.0,1.0,1.0,7.0,4.0,6.0,5.0,7.0,6.0,8.0,1.0,1.0,4.0,2.0,4.0,8.0,5.0,2.0,8.0,3.0,3.0,6.0,4.0,4.0,7.0,8.0,3.0,3.0,8.0,5.0,4.0,1.0,4.0,7.0,6.0,8.0,6.0,9.0,10.0,7.0,7.0,6.0,9.0,8.0,5.0,9.0,1.0,1.0,5.0,1.0,4.0,7.0,2.0,7.0,8.0,1.0,1.0,6.0,3.0,5.0,8.0,5.0,6.0,6.0,1.0,1.0,6.0,3.0,5.0,8.0,4.0,6.0,6.0,1.0,1.0,5.0,1.0,5.0,8.0
Yes,15.0,9.0,9.0,10.0,2.0,7.0,5.0,2.0,3.0,9.0,6.0,8.0,7.0,3.0,5.0,5.0,5.0,8.0,8.0,4.0,3.0,9.0,7.0,8.0,5.0,3.0,3.0,7.0,5.0,6.0,9.0,9.0,7.0,8.0,8.0,9.0,9.0,8.0,6.0,9.0,2.0,5.0,4.0,3.0,4.0,8.0,4.0,6.0,9.0,3.0,4.0,7.0,7.0,7.0,9.0,4.0,6.0,9.0,5.0,2.0,3.0,2.0,3.0,8.0,5.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,9.0,2.0,3.0,3.0,3.0,3.0,9.0,4.0,8.0,9.0,4.0,4.0,6.0,6.0,6.0,9.0,6.0,6.0,9.0,2.0,3.0,2.0,2.0,2.0,8.0,4.0,5.0,9.0,9.0,7.0,9.0,8.0,8.0,9.0,7.0,5.0,9.0,2.0,4.0,2.0,3.0,4.0,9.0,4.0,7.0,9.0,2.0,4.0,5.0,4.0,3.0,8.0,6.0,7.0,9.0,5.0,5.0,3.0,3.0,4.0,8.0,5.0,6.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0
Yes,20.0,3.0,8.0,10.0,0.0,3.0,2.0,1.0,1.0,10.0,3.0,9.0,10.0,1.0,7.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,9.0,9.0,8.0,8.0,8.0,2.0,9.0,7.0,10.0,10.0,6.0,7.0,6.0,6.0,8.0,10.0,9.0,10.0,9.0,8.0,6.0,5.0,6.0,9.0,6.0,9.0,10.0,0.0,1.0,2.0,2.0,2.0,8.0,9.0,7.0,8.0,9.0,0.0,1.0,0.0,1.0,1.0,2.0,7.0,10.0,0.0,0.0,5.0,6.0,5.0,9.0,9.0,8.0,10.0,1.0,6.0,1.0,0.0,1.0,9.0,6.0,8.0,9.0,0.0,0.0,4.0,4.0,4.0,8.0,9.0,8.0,9.0,7.0,5.0,1.0,4.0,5.0,6.0,9.0,7.0,10.0,9.0,5.0,5.0,5.0,4.0,6.0,10.0,8.0,9.0,5.0,0.0,2.0,2.0,2.0,8.0,0.0,7.0,9.0,0.0,4.0,4.0,4.0,4.0,10.0,0.0,7.0,7.0,0.0,6.0,6.0,5.0,5.0,8.0,0.0,6.0,10.0,0.0,4.0,9.0,9.0,9.0,9.0
